,ticker,name,industry,sub-industry,date_added,cik,found_year
0,MMM,3M,Industrials,Industrial Conglomerates,1976-08-09,66740,1902
1,AOS,A. O. Smith,Industrials,Building Products,2017-07-26,91142,1916
2,ABT,Abbott,Health Care,Health Care Equipment,1964-03-31,1800,1888
3,ABBV,AbbVie,Health Care,Pharmaceuticals,2012-12-31,1551152,2013 (1888)
4,ABMD,Abiomed,Health Care,Health Care Equipment,2018-05-31,815094,1981
5,ACN,Accenture,Information Technology,IT Consulting & Other Services,2011-07-06,1467373,1989
6,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,2015-08-31,718877,2008
7,ADM,ADM,Consumer Staples,Agricultural Products,1981-07-29,7084,1902
8,ADBE,Adobe Inc.,Information Technology,Application Software,1997-05-05,796343,1982
9,ADP,ADP,Information Technology,Data Processing & Outsourced Services,1981-03-31,8670,1949
10,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,2015-07-09,1158449,1932
11,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1998-10-02,874761,1981
12,AFL,Aflac,Financials,Life & Health Insurance,1999-05-28,4977,1955
13,A,Agilent Technologies,Health Care,Health Care Equipment,2000-06-05,1090872,1999
14,APD,Air Products and Chemicals,Materials,Industrial Gases,1985-04-30,2969,1940
15,AKAM,Akamai,Information Technology,Internet Services & Infrastructure,2007-07-12,1086222,1998
16,ALK,Alaska Air Group,Industrials,Airlines,2016-05-13,766421,1985
17,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2016-07-01,915913,1994
18,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2017-03-20,1035443,1994
19,ALGN,Align Technology,Health Care,Health Care Supplies,2017-06-19,1097149,1997
20,ALLE,Allegion,Industrials,Building Products,2013-12-02,1579241,1908
21,LNT,Alliant Energy,Utilities,Electric Utilities,2016-07-01,352541,1917
22,ALL,Allstate,Financials,Property & Casualty Insurance,1995-07-13,899051,1931
23,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2014-04-03,1652044,1998
24,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2006-04-03,1652044,1998
25,MO,Altria,Consumer Staples,Tobacco,1957-03-04,764180,1985
26,AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,1018724,1994
27,AMCR,Amcor,Materials,Paper Packaging,2019-06-07,1748790,2019 (1860)
28,AMD,AMD,Information Technology,Semiconductors,,2488,1969
29,AEE,Ameren,Utilities,Multi-Utilities,1991-09-19,1002910,1902
30,AAL,American Airlines Group,Industrials,Airlines,2015-03-23,6201,1934
31,AEP,American Electric Power,Utilities,Electric Utilities,1957-03-04,4904,1906
32,AXP,American Express,Financials,Consumer Finance,1976-06-30,4962,1850
33,AIG,American International Group,Financials,Property & Casualty Insurance,1980-03-31,5272,1919
34,AMT,American Tower,Real Estate,Specialized REITs,2007-11-19,1053507,1995
35,AWK,American Water Works,Utilities,Water Utilities,2016-03-04,1410636,1886
36,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2005-10-03,820027,1894
37,ABC,AmerisourceBergen,Health Care,Health Care Distributors,2001-08-30,1140859,1985
38,AME,Ametek,Industrials,Electrical Components & Equipment,2013-09-23,1037868,1930
39,AMGN,Amgen,Health Care,Biotechnology,1992-01-02,318154,1980
40,APH,Amphenol,Information Technology,Electronic Components,2008-09-30,820313,1932
41,ADI,Analog Devices,Information Technology,Semiconductors,1999-10-12,6281,1965
42,ANSS,Ansys,Information Technology,Application Software,2017-06-19,1013462,1969
43,AON,Aon,Financials,Insurance Brokers,1996-04-23,315293,1982 (1919)
44,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1997-07-28,6769,1954
45,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1982-11-30,320193,1977
46,AMAT,Applied Materials,Information Technology,Semiconductor Equipment,1995-03-16,6951,1967
47,APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,2012-12-24,1521332,1994
48,ANET,Arista Networks,Information Technology,Communications Equipment,2018-08-28,1596532,2004
49,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2016-05-31,354190,1927
50,AIZ,Assurant,Financials,Multi-line Insurance,2007-04-10,1267238,1892
51,T,AT&T,Communication Services,Integrated Telecommunication Services,1983-11-30 (1957-03-04),732717,1983 (1885)
52,ATO,Atmos Energy,Utilities,Gas Utilities,2019-02-15,731802,1906
53,ADSK,Autodesk,Information Technology,Application Software,1989-12-01,769397,1982
54,AZO,AutoZone,Consumer Discretionary,Specialty Stores,1997-01-02,866787,1979
55,AVB,AvalonBay Communities,Real Estate,Residential REITs,2007-01-10,915912,1978
56,AVY,Avery Dennison,Materials,Paper Packaging,1987-12-31,8818,1990
57,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2017-07-07,1701605,2017
58,BALL,Ball Corporation,Materials,Metal & Glass Containers,1984-10-31,9389,1880
59,BAC,Bank of America,Financials,Diversified Banks,1976-06-30,70858,1998 (1923 / 1874)
60,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,1983-09-30,701985,1963
61,BAX,Baxter International,Health Care,Health Care Equipment,1972-09-30,10456,1931
62,BDX,Becton Dickinson,Health Care,Health Care Equipment,1972-09-30,10795,1897
63,WRB,Berkley,Financials,Property & Casualty Insurance,2019-12-05,11544,1967
64,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2010-02-16,1067983,1839
65,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1999-06-29,764478,1966
66,BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,2020-06-22,12208,1952
67,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2021-08-30,842023,1976
68,BIIB,Biogen,Health Care,Biotechnology,2003-11-13,875045,1978
69,BLK,BlackRock,Financials,Asset Management & Custody Banks,2011-04-04,1364742,1988
70,BK,BNY Mellon,Financials,Asset Management & Custody Banks,1995-03-31,1390777,1784
71,BA,Boeing,Industrials,Aerospace & Defense,1957-03-04,12927,1916
72,BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,2009-11-06,1075531,1996
73,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,2011-12-19,908255,1880
74,BXP,Boston Properties,Real Estate,Office REITs,2006-04-03,1037540,1970
75,BSX,Boston Scientific,Health Care,Health Care Equipment,1995-02-24,885725,1979
76,BMY,Bristol Myers Squibb,Health Care,Health Care Distributors,1957-03-04,14272,1989
77,AVGO,Broadcom Inc.,Information Technology,Semiconductors,2014-05-08,1730168,1961
78,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,2018-06-18,1383312,1962
79,BRO,Brown & Brown,Financials,Insurance Brokers,2021-09-20,79282,1939
80,BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,1982-10-31,14693,1870
81,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2007-03-02,1043277,1905
82,CDNS,Cadence Design Systems,Information Technology,Application Software,2017-09-18,813672,1988
83,CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,2021-03-22,1590895,1973
84,CPT,Camden Property Trust,Real Estate,Residential REITs,2022-04-04,906345,1981
85,CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,1957-03-04,16732,1869
86,COF,Capital One,Financials,Consumer Finance,1998-07-01,927628,1994
87,CAH,Cardinal Health,Health Care,Health Care Distributors,1997-05-27,721371,1971
88,KMX,CarMax,Consumer Discretionary,Specialty Stores,2010-06-28,1170010,1993
89,CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-12-22,815097,1972
90,CARR,Carrier Global,Industrials,Building Products,2020-04-03,1783180,2020 (1915)
91,CTLT,Catalent,Health Care,Pharmaceuticals,2020-09-21,1596783,2007
92,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,1957-03-04,18230,1925
93,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2017-03-01,1374310,1973
94,CBRE,CBRE Group,Real Estate,Real Estate Services,2006-11-10,1138118,1906
95,CDW,CDW,Information Technology,Technology Distributors,2019-09-23,1402057,1984
96,CE,Celanese,Materials,Specialty Chemicals,2018-12-24,1306830,1918
97,CNC,Centene Corporation,Health Care,Managed Health Care,2016-03-30,1071739,1984
98,CNP,CenterPoint Energy,Utilities,Multi-Utilities,1985-07-31,1130310,1882
99,CDAY,Ceridian,Information Technology,Application Software,2021-09-20,1725057,1992
100,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2008-08-27,1324404,1946
101,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,2021-05-14,1100682,1947
102,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1997-06-02,316709,1971
103,CHTR,Charter Communications,Communication Services,Cable & Satellite,2016-09-08,1091667,1993
104,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,1957-03-04,93410,1879
105,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2011-04-28,1058090,1993
106,CB,Chubb Limited,Financials,Property & Casualty Insurance,2010-07-15,896159,1985
107,CHD,Church & Dwight,Consumer Staples,Household Products,2015-12-29,313927,1847
108,CI,Cigna,Health Care,Managed Health Care,1976-06-30,1739940,1982
109,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,1997-12-18,20286,1950
110,CTAS,Cintas,Industrials,Diversified Support Services,2001-03-01,723254,1929
111,CSCO,Cisco,Information Technology,Communications Equipment,1993-12-01,858877,1984
112,C,Citigroup,Financials,Diversified Banks,1988-05-31,831001,1998
113,CFG,Citizens Financial Group,Financials,Regional Banks,2016-01-29,759944,1828
114,CTXS,Citrix,Information Technology,Application Software,1999-12-01,877890,1989
115,CLX,Clorox,Consumer Staples,Household Products,1969-03-31,21076,1913
116,CME,CME Group,Financials,Financial Exchanges & Data,2006-08-11,1156375,1848
117,CMS,CMS Energy,Utilities,Multi-Utilities,1999-05-03,811156,1886
118,KO,The Coca-Cola Company,Consumer Staples,Soft Drinks,1957-03-04,21344,1886
119,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2006-11-17,1058290,1994
120,CL,Colgate-Palmolive,Consumer Staples,Household Products,1957-03-04,21665,1806
121,CMCSA,Comcast,Communication Services,Cable & Satellite,2002-11-19,1166691,1963
122,CMA,Comerica,Financials,Diversified Banks,1995-12-01,28412,1849
123,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,1983-08-31,23217,1919
124,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1957-03-04,1163165,2002
125,ED,Consolidated Edison,Utilities,Electric Utilities,,1047862,1823
126,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,2005-07-01,16918,1945
127,CEG,Constellation Energy,Utilities,Multi-Utilities,2022-02-02,1868275,1999
128,COO,CooperCompanies,Health Care,Health Care Supplies,2016-09-23,711404,1958
129,CPRT,Copart,Industrials,Diversified Support Services,2018-07-02,900075,1982
130,GLW,Corning Inc.,Information Technology,Electronic Components,,24741,1851
131,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2019-06-03,1755672,2019
132,COST,Costco,Consumer Staples,Hypermarkets & Super Centers,1993-10-01,909832,1976
133,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2008-06-23,858470,2021 (1989)
134,CCI,Crown Castle,Real Estate,Specialized REITs,2012-03-14,1051470,1994
135,CSX,CSX,Industrials,Railroads,1967-09-30,277948,1980
136,CMI,Cummins,Industrials,Industrial Machinery,1965-03-31,26172,1919
137,CVS,CVS Health,Health Care,Health Care Services,1957-03-04,64803,1996
138,DHI,D.R. Horton,Consumer Discretionary,Homebuilding,2005-06-22,882184,1978
139,DHR,Danaher Corporation,Health Care,Health Care Equipment,,313616,1969
140,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,,940944,1938
141,DVA,DaVita Inc.,Health Care,Health Care Facilities,2008-07-31,927066,1979
142,DE,John Deere,Industrials,Agricultural & Farm Machinery,1957-03-04,315189,1837
143,DAL,Delta Air Lines,Industrials,Airlines,2013-09-11,27904,1929
144,XRAY,Dentsply Sirona,Health Care,Health Care Supplies,2008-11-14,818479,2016 (1969)
145,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2000-08-30,1090012,1971
146,DXCM,Dexcom,Health Care,Health Care Equipment,2020-05-12,1093557,1999
147,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2018-12-03,1539838,2007
148,DLR,Digital Realty,Real Estate,Specialized REITs,2016-05-18,1297996,2004
149,DFS,Discover Financial,Financials,Consumer Finance,2007-07-02,1393612,1985
150,DISH,Dish Network,Communication Services,Cable & Satellite,2017-03-13,1001082,1980
151,DIS,Disney,Communication Services,Movies & Entertainment,1976-06-30,1744489,1923
152,DG,Dollar General,Consumer Discretionary,General Merchandise Stores,2012-12-03,29534,1939
153,DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,2011-12-19,935703,1986
154,D,Dominion Energy,Utilities,Electric Utilities,,715957,1983
155,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-05-12,1286681,1960
156,DOV,Dover Corporation,Industrials,Industrial Machinery,1985-10-31,29905,1955
157,DOW,Dow Inc.,Materials,Commodity Chemicals,2019-04-01,1751788,2019
158,DTE,DTE Energy,Utilities,Multi-Utilities,1957-03-04,936340,1995
159,DUK,Duke Energy,Utilities,Electric Utilities,1976-06-30,1326160,1904
160,DRE,Duke Realty,Real Estate,Industrial REITs,2017-07-26,783280,1972
161,DD,DuPont,Materials,Specialty Chemicals,2019-04-02,1666700,2017
162,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,2017-04-04,1688568,2017
163,EMN,Eastman Chemical Company,Materials,Diversified Chemicals,1994-01-01,915389,1920
164,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,,1551182,1911
165,EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,2002-07-22,1065088,1995
166,ECL,Ecolab,Materials,Specialty Chemicals,1989-01-31,31462,1923
167,EIX,Edison International,Utilities,Electric Utilities,1957-03-04,827052,1886
168,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2011-04-01,1099800,1958
169,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,2002-07-22,712515,1982
170,ELV,Elevance Health,Health Care,Managed Health Care,2002-07-25,1156039,2014 (1946)
171,LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,1970-12-31,59478,1876
172,EMR,Emerson Electric,Industrials,Electrical Components & Equipment,1965-03-31,32604,1890
173,ENPH,Enphase,Information Technology,Electronic Components,2021-01-07,1463101,2006
174,ETR,Entergy,Utilities,Electric Utilities,1957-03-04,65984,1913
175,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2000-11-02,821189,1999
176,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-12-14,1352010,1993
177,EFX,Equifax,Industrials,Research & Consulting Services,1997-06-19,33185,1899
178,EQIX,Equinix,Real Estate,Specialized REITs,2015-03-20,1101239,1998
179,EQR,Equity Residential,Real Estate,Residential REITs,2001-12-03,906107,1969
180,ESS,Essex Property Trust,Real Estate,Residential REITs,2014-04-02,920522,1971
181,EL,The Estée Lauder Companies,Consumer Staples,Personal Products,2006-01-05,1001250,1946
182,ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,2020-09-21,1370637,2005
183,RE,Everest Re,Financials,Reinsurance,2017-06-19,1095073,1973
184,EVRG,Evergy,Utilities,Electric Utilities,2018-06-05,1711269,1909
185,ES,Eversource,Utilities,Multi-Utilities,2009,72741,1966
186,EXC,Exelon,Utilities,Multi-Utilities,1957-03-04,1109357,2000
187,EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,2007-10-02,1324424,1996
188,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2007-10-10,746515,1979
189,EXR,Extra Space Storage,Real Estate,Specialized REITs,2016-01-19,1289490,1977
190,XOM,ExxonMobil,Energy,Integrated Oil & Gas,1957-03-04,34088,1999
191,FFIV,"F5, Inc.",Information Technology,Communications Equipment,2010-12-20,1048695,1996
192,FDS,FactSet,Financials,Financial Exchanges & Data,2021-12-20,1013237,1978
193,FAST,Fastenal,Industrials,Building Products,2008-09-15,815556,1967
194,FRT,Federal Realty,Real Estate,Retail REITs,2016-02-01,34903,1962
195,FDX,FedEx,Industrials,Air Freight & Logistics,1980-12-31,1048911,1971
196,FITB,Fifth Third Bank,Financials,Regional Banks,,35527,1858
197,FRC,First Republic Bank,Financials,Regional Banks,2019-01-02,1132979,1985
198,FE,FirstEnergy,Utilities,Electric Utilities,,1031296,1997
199,FIS,FIS,Information Technology,Data Processing & Outsourced Services,2006-11-10,1136893,1968
200,FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,2001-04-02,798354,1984
201,FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,2018-06-20,1175454,2000
202,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,2009-08-19,37785,1883
203,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,1957-03-04,37996,1903
204,FTNT,Fortinet,Information Technology,Systems Software,2018-10-11,1262039,2000
205,FTV,Fortive,Industrials,Industrial Machinery,2016-07-01,1659166,2016
206,FBHS,Fortune Brands Home & Security,Industrials,Building Products,2016-06-22,1519751,2011 (1969)
207,FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,2013-07-01,1754301,2019
208,FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,2015-09-18,1754301,2019
209,BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,,38777,1947
210,FCX,Freeport-McMoRan,Materials,Copper,,831259,1912
211,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,2012-12-12,1121788,1989
212,IT,Gartner,Information Technology,IT Consulting & Other Services,2017-04-05,749251,1979
213,GNRC,Generac,Industrials,Electrical Components & Equipment,2021-03-22,1474735,1959
214,GD,General Dynamics,Industrials,Aerospace & Defense,1957-03-04,40533,1899
215,GE,General Electric,Industrials,Industrial Conglomerates,,40545,1892
216,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,1969-03-31,40704,1856
217,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2013-06-06,1467858,1908
218,GPC,Genuine Parts Company,Consumer Discretionary,Specialty Stores,1973-12-31,40987,1925
219,GILD,Gilead Sciences,Health Care,Biotechnology,2004-07-01,882095,1987
220,GL,Globe Life,Financials,Life & Health Insurance,1989-04-30,320335,1900
221,GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,2016-04-25,1123360,2000
222,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,2002-07-22,886982,1869
223,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,1957-03-04,45012,1919
224,HIG,Hartford (The),Financials,Property & Casualty Insurance,1957-03-04,874766,1810
225,HAS,Hasbro,Consumer Discretionary,Leisure Products,1984-09-30,46080,1923
226,HCA,HCA Healthcare,Health Care,Health Care Facilities,2015-01-27,860730,1968
227,PEAK,Healthpeak,Real Estate,Health Care REITs,2008-03-31,765880,1985
228,HSIC,Henry Schein,Health Care,Health Care Distributors,2015-03-17,1000228,1932
229,HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,1957-03-04,47111,1894
230,HES,Hess Corporation,Energy,Integrated Oil & Gas,1984-05-31,4447,1919
231,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015-11-02,1645590,2015
232,HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-06-19,1585689,1919
233,HOLX,Hologic,Health Care,Health Care Equipment,2016-03-30,859737,1985
234,HD,The Home Depot,Consumer Discretionary,Home Improvement Retail,1988-03-31,354950,1978
235,HON,Honeywell,Industrials,Industrial Conglomerates,1964-03-31,773840,1906
236,HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,2009-03-04,48465,1891
237,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,2007-03-20,1070750,1993
238,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,1964-03-31,4281,2016
239,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1974-12-31,47217,1939 (2015)
240,HUM,Humana,Health Care,Managed Health Care,,49071,1961
241,HBAN,Huntington Bancshares,Financials,Regional Banks,,49196,1866
242,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2018-01-03,1501585,2011
243,IBM,IBM,Information Technology,IT Consulting & Other Services,1957-03-04,51143,1911
244,IEX,IDEX Corporation,Industrials,Industrial Machinery,2019-08-09,832101,1988
245,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2017-01-05,874716,1983
246,ITW,Illinois Tool Works,Industrials,Industrial Machinery,1986-02-28,49826,1912
247,ILMN,Illumina,Health Care,Life Sciences Tools & Services,2015-11-19,1110803,1998
248,INCY,Incyte,Health Care,Biotechnology,2017-02-28,879169,1991
249,IR,Ingersoll Rand,Industrials,Industrial Machinery,2020-03-03,1699150,1859
250,INTC,Intel,Information Technology,Semiconductors,1976-12-31,50863,1968
251,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2007-09-26,1571949,2000
252,IP,International Paper,Materials,Paper Packaging,1957-03-04,51434,1898
